time_elapsed,population_size,average_fitness
994,200,1.7028528583659552
995,196,1.705360353678774
996,194,1.7047244048439472
997,386,1.704401487819004
998,386,1.704401487819004
999,291,1.7073737938666147
1000,243,1.7054211786802256
1001,220,1.7049978758889737
1002,208,1.701467463908519
1003,202,1.7034884477945798
1004,198,1.7059834550623925
1005,196,1.7053603536787743
1006,390,1.7050440098993935
1007,294,1.707982708119578
1008,247,1.7064191740158818
1009,222,1.7055568805265235
1010,209,1.7017812434623396
1011,203,1.7038015460352813
1012,200,1.7065940944183386
1013,198,1.7059834550623925
1014,394,1.7056734858461713
1015,393,1.7055173181494516
1016,296,1.7083817938123986
1017,247,1.7084218586595172
1018,222,1.7075645624747153
1019,209,1.710513521911146
1020,203,1.7064004137877262
1021,200,1.7071994935076538
1022,198,1.7065949692940239
1023,394,1.7057762444504831
1024,296,1.7033093021870767
1025,248,1.7049951810557105
1026,223,1.7071951589404115
1027,210,1.7053281606963566
1028,204,1.70721610243088
1029,201,1.7070962844001178
1030,199,1.706493760719144
1031,396,1.7061879343053115
1032,396,1.7061879343053115
1033,299,1.7040842224396144
1034,250,1.705491598732521
1035,226,1.7079896575915168
1036,213,1.7086615608978564
1037,206,1.7073151895135406
1038,203,1.7064324476247206
1039,201,1.7058293138632055
1040,400,1.7067965288688285
1041,301,1.704502582361325
1042,253,1.7062215093087008
1043,228,1.7085077078815651
1044,217,1.7097377973911128
1045,209,1.7081725895299542
1046,205,1.7070238129225965
1047,203,1.7064324476247208
1048,404,1.70739307205485
1049,404,1.70739307205485
1050,305,1.705322842142252
1051,255,1.7066985750447659
1052,231,1.7092679635020254
1053,219,1.7102611726720798
1054,211,1.7087306445169403
1055,208,1.7078895376014585
1056,206,1.7073151895135406
1057,410,1.7084422580052763
1058,308,1.7061586017968169
1059,258,1.707680306730419
1060,232,1.7066170788557427
1061,219,1.7081676376612056
1062,212,1.711141257607852
1063,208,1.710043293485325
1064,206,1.7094898556487066
1065,410,1.708618453927378
1066,410,1.708618453927378
1067,309,1.7114485261916947
1068,258,1.7115791903785218
1069,233,1.710856572466844
1070,220,1.7138526117946244
